"Timestamp","How many SQL servers does your company manage?","How many SQL Server databases does your company manage?","What's your total SQL Server database volume?","What's your biggest SQL Server database?","How many SQL Server DBAs does your company employ?","What versions of SQL are you using?","Which of these features are you using?","What do you use for backups?","How are you testing your SQL Server backups?","What SQL Server HA/DR tools/features do you use?","What's your biggest worry or pain for your SQL Server backups? (i.e. having enough space, getting done within backup window, having access in an emergency)"
"2018/02/01 8:46:33 AM MST","10-25","101-500","0-10TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2014;SQL 2016","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance","Space, time, ease of access, points of failure (storage systems)"
"2018/02/01 8:52:05 AM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2012;SQL 2017","","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","",""
"2018/02/01 8:54:40 AM MST","100+","2001+","10TB-25TB","1TB-5TB","6-10","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping","having access in an emergency"
"2018/02/01 8:55:25 AM MST","10-25","26-100","10TB-25TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;In Memory OLTP;Transparent Data Encryption (TDE)","Maintenance Plans;“Roll Your Own” / Internally developed scripts","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups",""
"2018/02/01 8:55:28 AM MST","100+","101-500","10TB-25TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Third party DR tool (Double Take, SIOS, etc.)",""
"2018/02/01 8:55:51 AM MST","1-10","1-25","0-10TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","",""
"2018/02/01 8:58:26 AM MST","100+","2001+","25TB-50TB","Over 10TB","11+","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row;Filestream;In Memory OLTP;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Availability Groups;Log Shipping;Third party DR tool (Double Take, SIOS, etc.)",""
"2018/02/01 8:58:54 AM MST","100+","2001+","50TB+","Over 10TB","11+","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row","Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","I work for a large health insurance company. We are moving to Commvault (from TSM) and so we are expecting things to improve."
"2018/02/01 8:59:19 AM MST","1-10","1-25","0-10TB","0-1TB","2-5","SQL 2016;SQL 2017","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Database Mirroring",""
"2018/02/01 9:01:36 AM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2017","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","No verification/testing","","Veeam breaking the LSN chains of my native SQL backups"
"2018/02/01 9:02:13 AM MST","100+","2001+","50TB+","Over 10TB","6-10","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring",""
"2018/02/01 9:03:23 AM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2016","","Maintenance Plans","No verification/testing","Availability Groups","Transporting to s3 for storage"
"2018/02/01 9:11:54 AM MST","50-100","101-500","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Maintenance Plans","Restore to another system and run DBCC","Failover Cluster Instance","Time to restore/recover DBs in and emergency."
"2018/02/01 9:17:09 AM MST","10-25","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","",""
"2018/02/01 9:19:23 AM MST","10-25","501-2000","25TB-50TB","1TB-5TB","1","SQL 2000 / SQL 2005;SQL 2012","","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","","Inconsistent durations "
"2018/02/01 9:19:57 AM MST","1-10","1-25","10TB-25TB","5TB-10TB","2-5","SQL 2014","","Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Backup job verification","Log Shipping;Database Mirroring","Restore times being through the roof."
"2018/02/01 9:21:51 AM MST","50-100","501-2000","25TB-50TB","Over 10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row;In Memory OLTP","Maintenance Plans;Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Backup job verification;Restore to another system and run DBCC","Availability Groups;Database Mirroring",""
"2018/02/01 9:23:53 AM MST","25-50","101-500","10TB-25TB","1TB-5TB","1","SQL 2016;SQL 2017","Column Store Index;Filestream","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing","Failover Cluster Instance;Availability Groups","Finishing within the window"
"2018/02/01 9:25:05 AM MST","50-100","2001+","25TB-50TB","5TB-10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Column Store Index;In Memory OLTP","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Failover Cluster Instance;Availability Groups;Database Mirroring","Having space available"
"2018/02/01 9:27:19 AM MST","100+","501-2000","25TB-50TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Availability Groups;Log Shipping",""
"2018/02/01 9:29:43 AM MST","100+","2001+","50TB+","5TB-10TB","2-5","SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row","“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Database Mirroring",""
"2018/02/01 9:31:01 AM MST","10-25","101-500","10TB-25TB","0-1TB","1","SQL 2012;SQL 2014","","Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","No verification/testing","Failover Cluster Instance;Availability Groups","Having enough space, balancing RPO with the practical limits of what I can achieve with the tools I have."
"2018/02/01 9:32:08 AM MST","100+","501-2000","50TB+","5TB-10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row;Filestream;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping","inconsistency"
"2018/02/01 9:35:19 AM MST","25-50","101-500","10TB-25TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012","Change Data Capture;Filestream","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups",""
"2018/02/01 9:37:04 AM MST","100+","501-2000","25TB-50TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Compression - Page or Row;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Failover Cluster Instance;Database Mirroring",""
"2018/02/01 9:40:34 AM MST","1-10","26-100","10TB-25TB","1TB-5TB","2-5","SQL 2016","Change Data Capture;Column Store Index;In Memory OLTP","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups","Unabillity to restore database from 3rd party tool backups like Commvault."
"2018/02/01 9:41:24 AM MST","50-100","501-2000","10TB-25TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012","Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Failover Cluster Instance;Log Shipping;Database Mirroring","Setting up rotating backup testing"
"2018/02/01 9:41:37 AM MST","100+","2001+","50TB+","1TB-5TB","6-10","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","Immense restore times"
"2018/02/01 9:41:50 AM MST","100+","2001+","50TB+","5TB-10TB","6-10","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row;In Memory OLTP;Transparent Data Encryption (TDE)","“Roll Your Own” / Internally developed scripts","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Third party DR tool (Double Take, SIOS, etc.);Database Mirroring",""
"2018/02/01 9:42:38 AM MST","100+","2001+","50TB+","5TB-10TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Failover Cluster Instance;Availability Groups;Log Shipping;Third party DR tool (Double Take, SIOS, etc.);Database Mirroring","Will it restore....."
"2018/02/01 9:45:00 AM MST","25-50","101-500","0-10TB","0-1TB","1","SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Log Shipping","having enough space - moving to Azure storage a.s.a.p."
"2018/02/01 9:46:43 AM MST","25-50","101-500","10TB-25TB","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Filestream","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Availability Groups",""
"2018/02/01 10:00:30 AM MST","10-25","501-2000","25TB-50TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2016","","Maintenance Plans","Backup job verification","Availability Groups",""
"2018/02/01 10:02:23 AM MST","25-50","101-500","10TB-25TB","1TB-5TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Database Mirroring",""
"2018/02/01 10:15:18 AM MST","100+","501-2000","10TB-25TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Database Mirroring","Space, space, and space"
"2018/02/01 10:15:24 AM MST","50-100","501-2000","10TB-25TB","1TB-5TB","2-5","SQL 2012;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Backup job verification","Failover Cluster Instance;Availability Groups","Having enough space on DFS."
"2018/02/01 10:15:28 AM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Failover Cluster Instance;Database Mirroring",""
"2018/02/01 10:17:36 AM MST","1-10","1-25","0-10TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","","Space!"
"2018/02/01 10:25:27 AM MST","100+","2001+","50TB+","1TB-5TB","6-10","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping","Disk space"
"2018/02/01 10:26:14 AM MST","10-25","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","In Memory OLTP;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Log Shipping","End users."
"2018/02/01 10:28:43 AM MST","50-100","501-2000","25TB-50TB","Over 10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Filestream;In Memory OLTP","Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Backup job verification","Availability Groups;Third party DR tool (Double Take, SIOS, etc.)",""
"2018/02/01 10:31:08 AM MST","50-100","501-2000","50TB+","Over 10TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Column Store Index;Compression - Page or Row","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups",""
"2018/02/01 10:31:13 AM MST","100+","2001+","50TB+","Over 10TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","No verification/testing","","Chicks"
"2018/02/01 10:42:46 AM MST","100+","2001+","50TB+","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Database Mirroring",""
"2018/02/01 10:44:13 AM MST","100+","501-2000","25TB-50TB","Over 10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring",""
"2018/02/01 10:47:14 AM MST","1-10","1-25","0-10TB","1TB-5TB","1","SQL 2016","Column Store Index","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Database Mirroring","Azure cloud storage availability.  We use a VM on Azure, not Azure's SQL Server."
"2018/02/01 10:48:17 AM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2","Change Data Capture","“Roll Your Own” / Internally developed scripts","Backup job verification;Restore to another system and run DBCC","","DBA responsibility is shared across a couple folks as part of their overall work.  No dedicated DBA on staff or contract.  Backups tested sporadically by restoring to “refresh” a test environment, not specifically for DR validation."
"2018/02/01 10:48:28 AM MST","100+","501-2000","25TB-50TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","Nowhere to test restores"
"2018/02/01 10:53:25 AM MST","100+","501-2000","0-10TB","0-1TB","6-10","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","",""
"2018/02/01 10:56:01 AM MST","100+","501-2000","50TB+","Over 10TB","11+","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Third party DR tool (Double Take, SIOS, etc.)","Fighting for space"
"2018/02/01 10:56:11 AM MST","100+","501-2000","25TB-50TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Filestream;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Failover Cluster Instance;Availability Groups;Database Mirroring","the backup team not responsible for (succesful) backup, different methods for backup"
"2018/02/01 10:56:17 AM MST","100+","501-2000","50TB+","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Filestream","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping","NetBackup "
"2018/02/01 11:02:14 AM MST","10-25","26-100","0-10TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2014;SQL 2016","Filestream;Transparent Data Encryption (TDE)","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups",""
"2018/02/01 11:07:09 AM MST","100+","101-500","0-10TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Change Data Capture;Compression - Page or Row","“Roll Your Own” / Internally developed scripts","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance",""
"2018/02/01 11:12:22 AM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","",""
"2018/02/01 11:16:12 AM MST","100+","2001+","50TB+","1TB-5TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Column Store Index;Compression - Page or Row;Filestream;In Memory OLTP","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing;Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","not enough space to test"
"2018/02/01 11:21:40 AM MST","100+","2001+","50TB+","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Column Store Index;Filestream","“Roll Your Own” / Internally developed scripts","Backup job verification","Failover Cluster Instance;Availability Groups","Space and restore/recovery time"
"2018/02/01 11:22:28 AM MST","25-50","101-500","10TB-25TB","1TB-5TB","2-5","SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Log Shipping",""
"2018/02/01 11:26:59 AM MST","50-100","501-2000","50TB+","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring",""
"2018/02/01 11:27:37 AM MST","25-50","101-500","10TB-25TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Availability Groups",""
"2018/02/01 11:28:26 AM MST","1-10","1-25","0-10TB","1TB-5TB","2-5","SQL 2014","Column Store Index;Compression - Page or Row;In Memory OLTP","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Availability Groups;Log Shipping;Database Mirroring",""
"2018/02/01 11:29:02 AM MST","100+","501-2000","50TB+","1TB-5TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring",""
"2018/02/01 11:29:42 AM MST","10-25","26-100","10TB-25TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Maintenance Plans","Backup job verification","",""
"2018/02/01 11:29:54 AM MST","1-10","26-100","25TB-50TB","5TB-10TB","2-5","SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Filestream;In Memory OLTP","Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing;Restore to another system and run DBCC","Availability Groups","VLDB checkdbs and RTO"
"2018/02/01 11:33:54 AM MST","100+","2001+","25TB-50TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Compression - Page or Row;Filestream;Transparent Data Encryption (TDE)","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups",""
"2018/02/01 11:44:40 AM MST","1-10","26-100","0-10TB","0-1TB","2-5","SQL 2012;SQL 2016","","“Roll Your Own” / Internally developed scripts","Backup job verification;Restore to another system and run DBCC","",""
"2018/02/01 12:04:34 PM MST","100+","501-2000","10TB-25TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;Filestream","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Third party DR tool (Double Take, SIOS, etc.)","Having enough space"
"2018/02/01 12:09:42 PM MST","100+","501-2000","25TB-50TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016;SQL 2017","Change Data Capture;Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Log Shipping;Third party DR tool (Double Take, SIOS, etc.)","Speed."
"2018/02/01 12:11:29 PM MST","10-25","26-100","0-10TB","1TB-5TB","1","SQL 2012;SQL 2014","Change Data Capture;Compression - Page or Row","Maintenance Plans","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Database Mirroring",""
"2018/02/01 12:19:05 PM MST","100+","101-500","10TB-25TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Database Mirroring","Missing Disaster restore tests"
"2018/02/01 12:20:52 PM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing","","Improper management of the backup files by the third party partner who is supposed to handle that. "
"2018/02/01 12:21:30 PM MST","100+","2001+","50TB+","Over 10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012","","Maintenance Plans;“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Log Shipping","slow restores, restores are available for only critical operations, lack of transparency to all teams on dependability of backups."
"2018/02/01 12:25:40 PM MST","10-25","26-100","50TB+","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Failover Cluster Instance;Availability Groups","Storage space"
"2018/02/01 12:30:20 PM MST","1-10","1-25","0-10TB","1TB-5TB","2-5","SQL 2012;SQL 2014","Column Store Index;In Memory OLTP","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","",""
"2018/02/01 12:30:48 PM MST","50-100","101-500","50TB+","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","In Memory OLTP;Transparent Data Encryption (TDE)","Maintenance Plans;“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Database Mirroring","Ever having to use one in a real life restore :-)"
"2018/02/01 12:33:31 PM MST","10-25","101-500","10TB-25TB","Over 10TB","2-5","SQL 2012;SQL 2014","Compression - Page or Row;Filestream","“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping",""
"2018/02/01 12:51:17 PM MST","25-50","501-2000","0-10TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Change Data Capture","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","","Space and emergency access "
